longitude,latitude,state,BII_All_Plants,BII_Trees,BII_Forbs,BII_Graminoids,Land_Use_Intensity,bio12_precip,elevation,slope
7.505424198818602,8.870863430680275,Abuja,0.35797825,0.25282535,0.48028666,0.37700635,0.33320662,1312.1270014962772,561,1.3577771
7.550339963024578,9.050526487504179,Abuja,0.3561455,0.25138718,0.47810844,0.37475613,0.33124962,1371.8122662075448,574,0.58768195
4.532000608382986,8.46662155282649,Kwara,0.24760798,0.16621727,0.34911072,0.24149425,0.99102366,1133.1429956778884,316,1.0101207
7.155081238011989,6.975418181188084,Kogi,0.49403816,0.38982442,0.60163623,0.6403047,0.02339819,1366.1258305055512,75,0.53822553
7.41559267040665,8.888829736362666,Abuja,0.35800424,0.25284573,0.48031756,0.37703827,0.33305094,1287.3609338034412,391,1.4983412
7.334744294835893,8.816964513633105,Abuja,0.3579227,0.25278175,0.48022065,0.37693816,0.33353946,1276.379375313248,365,1.4588299
4.523017455541791,8.439672094302905,Kwara,0.40782848,0.29194304,0.53953403,0.4382122,0.259325,1193.1551922303202,318,0.9215407
8.987644417615813,9.284088461375255,Plateau,0.57639295,0.4833559,0.59930015,0.8045495,0.04303972,1215.1166420953741,1300,0.99867505
7.182030696535575,8.93374550056864,Abuja,0.35800427,0.25284573,0.48031756,0.37703827,0.33305088,1272.8374631284757,392,4.3613887
7.370676906200674,9.176290627280913,Abuja,0.3809055,0.27081645,0.5075359,0.4051563,0.1958463,1362.960206501037,460,0.97246814
9.059509640345375,6.813721430046571,Benue,0.39821914,0.28440255,0.52811325,0.42641392,0.092117816,1685.3322298658843,190,0.58410656
7.262879072106331,9.005610723298203,Abuja,0.35774702,0.25264388,0.48001185,0.37672246,0.33349204,1280.9082195928383,334,0.603839
7.361693753359479,8.969678111933423,Abuja,0.3572597,0.25226146,0.4794326,0.37612408,0.33751178,1304.6609030835339,381,1.0951824
4.397253315765058,8.313907954526172,Kwara,0.4091927,0.29301354,0.5411554,0.4398872,0.026373627,1158.9704180183735,370,0.6669418
8.763065596585932,9.832060784688164,Plateau,0.41964498,0.28509706,0.52536,0.46529987,0.29896992,1275.2491790629037,1161,0.3776237
6.2298164953688815,7.460508434612627,Kogi,0.36968672,0.26201302,0.49420223,0.39138192,0.30333883,1359.4306950934908,367,2.3453677
4.540983761224181,8.538486775556052,Kwara,0.24881895,0.16716753,0.35054997,0.24298108,0.98719573,1158.4092721492052,292,0.6637137
7.19101384937677,8.978661264774617,Abuja,0.3580019,0.2528439,0.48031473,0.37703535,0.33470285,1274.6163843225402,298,1.606566
5.142855001584261,8.098312286337487,Kwara,0.33881235,0.25521904,0.4924209,0.32167754,0.056492276,1405.1586680940607,569,0.18673006
7.208980155059161,8.906796042045055,Abuja,0.35799834,0.2528411,0.48031053,0.377031,0.3330864,1267.1603014527382,262,0.18353583
4.720646818048086,8.41272263577932,Kwara,0.352159,0.24825895,0.47337043,0.36986148,0.36779705,1266.6097622887994,412,0.59237665
7.406609517565455,9.005610723298203,Abuja,0.3569127,0.2519892,0.47902024,0.37569806,0.33959058,1329.7188460915525,417,0.8901253
8.475604705667685,7.289828530629917,Benue,0.4269833,0.31081128,0.5720506,0.434165,0.02622361,1276.4017279869454,150,0.604736
8.84391397215669,8.60136884544442,Nassarawa,0.44787973,0.32931507,0.5913029,0.4568737,0.036147922,1375.029461360199,163,0.638131
7.262879072106331,8.951711806251032,Abuja,0.35670426,0.25182563,0.4787725,0.37544215,0.33662158,1277.3212510594412,318,1.4090226
7.487457893136212,8.807981360791908,Abuja,0.35800427,0.25284576,0.48031756,0.37703827,0.33305088,1314.7366753373776,591,1.3228377
4.540983761224181,8.457638399985296,Kwara,0.24803208,0.16655007,0.34961477,0.24201496,0.99191,1133.1429956778884,325,0.7705879
8.547469928397247,8.718149832379957,Nassarawa,0.40717697,0.2914318,0.5387597,0.43741232,0.03845009,1490.7920761411403,255,0.6818091
6.472361622081153,9.68833033922904,Niger,0.40703508,0.29132044,0.5385911,0.43723807,0.039300315,1129.9974132615396,317,2.2046084
7.361693753359479,8.942728653409837,Abuja,0.35468695,0.25024262,0.4763749,0.37296528,0.3411895,1287.46645656048,392,0.5199679
4.6038658311125475,8.385773177255734,Kwara,0.40920088,0.29301998,0.5411652,0.43989724,0.026324594,1208.1057801429522,370,0.2688853
7.208980155059161,8.942728653409837,Abuja,0.35800308,0.2528448,0.48031616,0.3770368,0.333058,1267.1603014527382,305,3.2505846
7.325761141994698,8.834930819315494,Abuja,0.3573828,0.2523581,0.47957897,0.37627527,0.33350074,1276.379375313248,342,0.5772924
8.951711806251032,7.298811683471112,Benue,0.42957166,0.3131033,0.5744353,0.43697786,0.06545611,1334.4133212544416,165,0.26248652
7.146098085170794,9.185273780122108,Niger,0.32147926,0.22418441,0.43690732,0.33219308,0.55125403,1291.206580633914,270,3.067141
7.469491587453821,8.84391397215669,Abuja,0.357966,0.25281572,0.48027208,0.3769913,0.33328006,1314.7366753373776,534,1.4505463
6.750839360158205,7.774918784054459,Kogi,0.49403816,0.38982442,0.60163623,0.6403047,0.020350406,1191.104457171041,36,0.64614886
8.134244897702267,7.182030696535575,Benue,0.400463,0.28616333,0.53078014,0.42916894,0.07867439,1311.7339208787307,181,0.6696075
5.960321910133025,9.077475946027764,Niger,0.2518632,0.16955636,0.3541681,0.2467188,0.9680736,1141.6626462802321,184,0.16500093
8.825947666474299,9.841043937529358,Plateau,0.4158782,0.28224057,0.5213888,0.4592236,0.3172551,1245.1057726590739,1238,1.6715922
9.53561674092872,8.87984658352147,Plateau,0.40785304,0.29196233,0.53956324,0.43824238,0.04142613,1177.8757495827342,205,0.5371801
4.828444652142428,9.12239171023374,Niger,0.40814263,0.29218957,0.5399074,0.43859792,0.032664787,1158.6967014277523,97,1.842132
8.951711806251032,9.975791230147287,Plateau,0.41588402,0.28224498,0.5213949,0.45923296,0.31739688,1228.291661454498,972,3.2973695
6.193883884004101,7.505424198818602,Kogi,0.3585277,0.2532565,0.48093966,0.37768096,0.32991496,1318.9643007652326,457,1.5257499
6.472361622081153,9.679347186387844,Niger,0.408647,0.29258534,0.54050684,0.4392172,0.029642968,1129.9974132615396,297,0.4720492
6.867620347093742,9.652397727864258,Niger,0.41095433,0.29439592,0.54324913,0.44205013,0.015819442,1302.607431513194,432,0.41566026
7.505424198818602,8.763065596585932,Abuja,0.35799715,0.25284016,0.4803091,0.37702954,0.3330935,1305.9272230497927,842,4.1286283
7.262879072106331,7.631188338595336,Kogi,0.40809062,0.29214874,0.5398456,0.43853408,0.032976355,1311.3041397242341,422,0.23419103
9.364936836946011,7.496441045977408,Benue,0.40936765,0.29315084,0.54136336,0.44010198,0.02532552,1302.7299925195562,177,0.7852821
6.993384486870475,9.46375151819916,Niger,0.40916997,0.29299572,0.5411284,0.4398593,0.026509741,1339.2495003722868,526,0.86431354
7.496441045977408,8.996627570457008,Abuja,0.35694206,0.25201225,0.47905514,0.37573412,0.34371606,1309.8374084705038,489,1.5120356
6.319648023780834,8.996627570457008,Niger,0.40805912,0.29212403,0.53980815,0.4384954,0.026953056,1079.7265631472917,99,0.25034434
4.648781595318524,8.403739482938123,Kwara,0.35222474,0.24831052,0.47344854,0.3699422,0.3676769,1198.0699433515017,350,0.527545
6.283715412416053,7.469491587453821,Kogi,0.3585277,0.25325647,0.48093966,0.37768093,0.32991493,1292.8362455083566,217,0.48358995
7.17304754369438,9.06849279318657,Abuja,0.3579936,0.2528374,0.48030487,0.3770252,0.3331148,1284.9022398842353,291,0.89783937
8.322891107367367,7.029317098235256,Benue,0.39991477,0.2857331,0.53012854,0.4284958,0.08195908,1419.0899161118168,69,0.41757572
7.586272574389359,8.610351998285614,Nassarawa,0.41184184,0.29509234,0.54430395,0.44313982,0.010502201,1175.7637506937647,284,2.0935786
7.3796600590418695,9.131374863074937,Abuja,0.37593532,0.26691633,0.50162876,0.39905393,0.35243756,1333.102165082602,464,0.57626265
6.463378469239958,7.343727447677089,Kogi,0.42338258,0.30762285,0.5687331,0.43025202,0.33029044,1256.4097039286387,168,5.3865094
6.15795127263932,9.796128173323382,Niger,0.41024604,0.2938401,0.54240733,0.44118047,0.020062925,1182.2460291883062,138,0.61340183
8.87984658352147,9.921892313100116,Plateau,0.41086623,0.2784398,0.5161049,0.4511387,0.34409675,1260.7828266654803,1188,1.7710353
4.972175097601552,10.317151038112705,Niger,0.4749477,0.32703537,0.5836639,0.5545098,0.01602109,1144.854001287875,307,0.80907273
8.825947666474299,9.975791230147287,Plateau,0.421643,0.28661224,0.5274664,0.46852288,0.28925595,1292.4822192488407,1199,2.0637484
7.217963307900355,9.023577028980593,Abuja,0.35799205,0.25283617,0.48030305,0.3770233,0.33312398,1280.3171561869387,299,0.65593636
7.280845377788722,8.969678111933423,Abuja,0.35796025,0.25281122,0.48026526,0.37698424,0.3353639,1277.3212510594412,330,1.3115137
9.400869448310793,9.337987378422426,Plateau,0.47403994,0.326347,0.58270687,0.5530455,0.055064492,1101.2145390657004,1196,0.57972705
8.547469928397247,8.4486552471441,Nassarawa,0.4075777,0.29174626,0.539236,0.4379043,0.036049303,1296.7276336807927,193,0.6291191
7.262879072106331,7.62220518575414,Kogi,0.40809062,0.29214874,0.5398456,0.43853408,0.032976355,1311.3041397242341,409,0.7523654
7.155081238011989,7.6671209499601165,Kogi,0.40820357,0.2922374,0.5399799,0.43867275,0.03229958,1320.6914423743517,368,1.1321725
7.487457893136212,8.664250915332785,Nassarawa,0.37949857,0.26971242,0.5058637,0.40342888,0.2042755,1233.0233112577155,608,1.8618544
7.298811683471112,8.87984658352147,Abuja,0.35797113,0.25281975,0.4802782,0.37699762,0.33306512,1265.4764109833357,320,0.8246463
7.361693753359479,9.095442251710155,Abuja,0.35651383,0.2516762,0.47854617,0.37520835,0.34198025,1318.2430867653102,448,0.57697535
7.388643211883065,8.888829736362666,Abuja,0.35800424,0.25284573,0.48031756,0.37703827,0.33305094,1296.3397992457687,377,0.68695384
7.41559267040665,9.08645909886896,Abuja,0.35449913,0.25009525,0.47615167,0.37273467,0.3540507,1325.4093396220144,469,2.2232716
8.583402539762028,7.900682923831192,Benue,0.46612749,0.34547344,0.60811496,0.476704,0.027556311,1204.3736722681417,125,1.0204157
7.388643211883065,9.176290627280913,Abuja,0.37959865,0.26979095,0.50598264,0.40355176,0.20383216,1362.960206501037,466,1.3549575
7.164064390853184,9.08645909886896,Abuja,0.35797232,0.25282067,0.4802796,0.37699905,0.33324233,1284.9022398842353,271,1.4325558
4.532000608382986,8.484587858508881,Kwara,0.37424603,0.26559073,0.49962103,0.39697984,0.99441874,1133.1429956778884,299,0.4263306
5.142855001584261,10.496814094936608,Niger,0.47581714,0.3276947,0.5845805,0.5559123,0.025870232,1142.6980659545145,318,0.13006489
6.732873054475814,7.783901936895654,Kogi,0.408005,0.29208156,0.53974384,0.43842894,0.033489365,1182.666890650649,47,0.3504477
6.238799648210077,7.541356810183383,Kogi,0.39494273,0.28183153,0.5242192,0.42239115,0.09478588,1270.623038245873,401,1.9928001
9.149341168757326,6.687957290269837,Benue,0.40936592,0.29314947,0.5413613,0.44009987,0.02533591,1768.9280118258162,205,0.76847386
9.005610723298203,8.286958496002587,Nassarawa,0.4110376,0.29446125,0.5433481,0.44215235,0.015320605,1226.4700929936544,182,0.35873222
